Te_K,Tc_K,superheat_K,subcool_K,h1,h2s,h2,h3,Qe,Wc,COP,P1,P3
273.15,310.2333333,5,5,401492.2905,422003.7681,428840.9274,244743.8463,156748.4442,27348.63689,5.731490195,349658.6079,939376.7559
273.15,310.2333333,5,7.5,401492.2905,422003.7681,428840.9274,241120.3644,160371.9261,27348.63689,5.863982424,349658.6079,939376.7559
273.15,310.2333333,5,10,401492.2905,422003.7681,428840.9274,237523.5658,163968.7246,27348.63689,5.995498981,349658.6079,939376.7559
273.15,310.65,0,0,398603.4536,423066.6994,431221.1147,252692.4141,145911.0395,32617.66105,4.473375307,292803.1823,950128.6888
273.15,310.65,0,2.5,398603.4536,423066.6994,431221.1147,249006.6519,149596.8018,32617.66105,4.586374282,292803.1823,950128.6888
273.15,310.65,0,5,398603.4536,423066.6994,431221.1147,245350.4409,153253.0127,32617.66105,4.698467264,292803.1823,950128.6888
273.15,310.65,0,7.5,398603.4536,423066.6994,431221.1147,241722.3923,156881.0613,32617.66105,4.809696841,292803.1823,950128.6888
273.15,310.65,0,10,398603.4536,423066.6994,431221.1147,238121.2296,160482.224,32617.66105,4.920102142,292803.1823,950128.6888
273.15,310.65,2.5,0,400055.2854,422642.0592,430170.9838,252692.4141,147362.8713,30115.69842,4.893224432,320263.4909,950128.6888
273.15,310.65,2.5,2.5,400055.2854,422642.0592,430170.9838,249006.6519,151048.6335,30115.69842,5.015611175,320263.4909,950128.6888
273.15,310.65,2.5,5,400055.2854,422642.0592,430170.9838,245350.4409,154704.8444,30115.69842,5.137016658,320263.4909,950128.6888
273.15,310.65,2.5,7.5,400055.2854,422642.0592,430170.9838,241722.3923,158332.8931,30115.69842,5.257487005,320263.4909,950128.6888
273.15,310.65,2.5,10,400055.2854,422642.0592,430170.9838,238121.2296,161934.0558,30115.69842,5.377064596,320263.4909,950128.6888
273.15,310.65,5,0,401492.2905,422241.3105,429157.6506,252692.4141,148799.8764,27665.36011,5.378562787,349658.6079,950128.6888
273.15,310.65,5,2.5,401492.2905,422241.3105,429157.6506,249006.6519,152485.6386,27665.36011,5.511789401,349658.6079,950128.6888
273.15,310.65,5,5,401492.2905,422241.3105,429157.6506,245350.4409,156141.8495,27665.36011,5.643947844,349658.6079,950128.6888
273.15,310.65,5,7.5,401492.2905,422241.3105,429157.6506,241722.3923,159769.8982,27665.36011,5.775088325,349658.6079,950128.6888
273.15,310.65,5,10,401492.2905,422241.3105,429157.6506,238121.2296,163371.0608,27665.36011,5.905256978,349658.6079,950128.6888
273.15,310.65,7.5,0,402913.5542,421862.4776,428178.7854,252692.4141,150221.1401,25265.2312,5.945765502,381076.6891,950128.6888
273.15,311.0666667,0,0,398603.4536,423304.7109,431538.4633,253309.6853,145293.7683,32935.00969,4.411529544,292803.1823,960972.7451
273.15,311.0666667,0,2.5,398603.4536,423304.7109,431538.4633,249618.8541,148984.5995,32935.00969,4.523593614,292803.1823,960972.7451
273.15,311.0666667,0,5,398603.4536,423304.7109,431538.4633,245957.8177,152645.6359,32935.00969,4.634753029,292803.1823,960972.7451
273.15,311.0666667,0,7.5,398603.4536,423304.7109,431538.4633,242325.1668,156278.2868,32935.00969,4.745050578,292803.1823,960972.7451
273.15,311.0666667,0,10,398603.4536,423304.7109,431538.4633,238719.6074,159883.8462,32935.00969,4.854525555,292803.1823,960972.7451
273.15,311.0666667,2.5,0,400055.2854,422879.4617,430487.5204,253309.6853,146745.6001,30432.235,4.822044784,320263.4909,960972.7451
273.15,311.0666667,2.5,2.5,400055.2854,422879.4617,430487.5204,249618.8541,150436.4313,30432.235,4.943325105,320263.4909,960972.7451
273.15,311.0666667,2.5,5,400055.2854,422879.4617,430487.5204,245957.8177,154097.4677,30432.235,5.063626372,320263.4909,960972.7451
273.15,311.0666667,2.5,7.5,400055.2854,422879.4617,430487.5204,242325.1668,157730.1186,30432.235,5.182994891,320263.4909,960972.7451
273.15,311.0666667,2.5,10,400055.2854,422879.4617,430487.5204,238719.6074,161335.678,30432.235,5.30147319,320263.4909,960972.7451
273.15,311.0666667,5,0,401492.2905,422478.137,429473.4191,253309.6853,148182.6051,27981.12865,5.295805147,349658.6079,960972.7451
273.15,311.0666667,5,2.5,401492.2905,422478.137,429473.4191,249618.8541,151873.4364,27981.12865,5.427709449,349658.6079,960972.7451
273.15,311.0666667,5,5,401492.2905,422478.137,429473.4191,245957.8177,155534.4728,27981.12865,5.558548933,349658.6079,960972.7451
273.15,311.0666667,5,7.5,401492.2905,422478.137,429473.4191,242325.1668,159167.1236,27981.12865,5.688373962,349658.6079,960972.7451
273.15,311.0666667,5,10,401492.2905,422478.137,429473.4191,238719.6074,162772.6831,27981.12865,5.817230788,349658.6079,960972.7451
273.15,311.0666667,7.5,0,402913.5542,422098.7584,428493.8264,253309.6853,149603.8689,25580.27221,5.848408008,381076.6891,960972.7451
273.15,311.0666667,7.5,2.5,402913.5542,422098.7584,428493.8264,249618.8541,153294.7001,25580.27221,5.992692292,381076.6891,960972.7451
273.15,311.4833333,0,0,398603.4536,423542.0072,431854.8584,253927.8267,144675.627,33251.40473,4.350962859,292803.1823,971909.4416
273.15,311.4833333,0,2.5,398603.4536,423542.0072,431854.8584,250231.8837,148371.57,33251.40473,4.462114343,292803.1823,971909.4416
273.15,311.4833333,0,5,398603.4536,423542.0072,431854.8584,246565.9826,152037.471,33251.40473,4.572362348,292803.1823,971909.4416
273.15,311.4833333,0,7.5,398603.4536,423542.0072,431854.8584,242928.6937,155674.76,33251.40473,4.681749876,292803.1823,971909.4416
273.15,311.4833333,0,10,398603.4536,423542.0072,431854.8584,239318.7044,159284.7492,33251.40473,4.790316395,292803.1823,971909.4416
273.15,311.4833333,2.5,0,400055.2854,423116.149,430803.1035,253927.8267,146127.4587,30747.81809,4.752449697,320263.4909,971909.4416
273.15,311.4833333,2.5,2.5,400055.2854,423116.149,430803.1035,250231.8837,149823.4017,30747.81809,4.872651494,320263.4909,971909.4416
273.15,311.4833333,2.5,5,400055.2854,423116.149,430803.1035,246565.9826,153489.3028,30747.81809,4.991876247,320263.4909,971909.4416
